10.0646 3.21681 2.69645 1.02862 1.7541 4.52354 3.69182 2.21895 11.9419 2.60071 0.85178 2.27828 1.15456 1.20192 1.19722 3.45424 1.23832 0.0529963 0.127399 2.29052 2.8915 2.24662 1.54672 2.19866 2.95687 2.38771 3.41979 1.85509 2.3183 1.49275
3.21681 139.112 29.8854 1.21607 14.982 28.9936 14.3209 6.6524 41.2069 12.3785 13.4176 5.27112 1.97168 6.1909 4.91685 27.0039 4.28938 0.476934 1.14909 28.8045 39.5568 6.85505 9.39908 26.2563 23.0164 5.95699 9.47176 19.0678 7.77396 6.62204
2.69645 29.8854 223.184 1.32985 22.1065 34.1043 16.5862 7.44546 40.1646 17.695 20.9987 5.85773 2.40127 7.62128 7.24377 38.4563 6.14763 0.923215 3.1252 35.5437 56.0465 8.56131 13.8726 29.9064 23.0664 8.24606 12.1736 22.3863 13.6506 13.5585
1.02862 1.21607 1.32985 5.00458 1.14914 1.27786 1.13635 1.04702 1.34433 1.12939 0.155833 1.07186 1.02547 1.04635 1.05034 1.28446 1.0528 0.0158163 0.0222 1.24734 1.36625 1.06201 1.11154 0.208266 1.18116 1.07559 1.1085 1.1497 1.08006 1.10682
1.7541 14.982 22.1065 1.14914 52.623 16.3406 6.73322 4.9575 18.8852 10.6832 12.4095 3.17689 1.63814 3.53142 4.39997 20.0891 2.54953 0.314348 0.839173 24.1705 24.4377 5.01017 4.95062 13.0485 9.42364 3.5424 6.05772 11.2719 5.52721 4.86606
4.52354 28.9936 34.1043 1.27786 16.3406 196.251 24.2457 6.19846 59.2373 17.6145 13.5282 7.18172 2.25857 3.73253 5.43029 31.302 3.7845 0.605324 3.44951 33.2598 44.5409 5.61403 11.9144 33.7012 31.3735 8.79458 10.7094 21.4663 8.87476 13.8692
3.69182 14.3209 16.5862 1.13635 6.73322 24.2457 85.4568 4.29263 39.4558 8.18445 5.78707 2.83888 1.55439 2.15958 3.02534 15.5606 2.24789 0.294475 1.61151 15.1331 22.0518 2.48941 6.6776 17.7224 17.8728 5.11497 6.44758 9.75898 5.0085 6.79134
2.21895 6.6524 7.44546 1.04702 4.9575 6.19846 4.29263 24.3959 13.815 3.42543 3.01564 1.64528 1.19908 7.42949 3.37507 6.55347 1.47059 0.0931377 0.248723 7.32233 7.66592 3.57558 2.11832 4.75602 3.9799 2.76925 4.91506 2.75684 3.70879 2.17618
11.9419 41.2069 40.1646 1.34433 18.8852 59.2373 39.4558 13.815 352.292 15.3172 15.7937 6.15289 2.51248 5.31241 3.86916 43.9263 5.45437 0.826476 1.75372 34.8896 50.4544 6.19115 13.4063 42.344 41.4288 16.4987 17.8884 24.6781 8.78659 9.22455
2.60071 12.3785 17.695 1.12939 10.6832 17.6145 8.18445 3.42543 15.3172 63.3658 8.19251 3.85746 1.60821 3.26053 5.06834 18.9485 2.27592 0.279446 2.69594 15.4447 18.6843 4.47631 4.39263 11.6261 8.18979 3.22183 7.52738 8.97271 8.12784 10.0586
